training_code,trainer_username,username,Max Marks [10]
UI-074,Kevin Stewart,Aaron Black,6.0
UI-093,Christine Marshall,Aaron Black,5.25
FS-100,Nicholas Lewis,Aaron Black,2.25
UI-087,Mark Jenkins,Aaron Black,1.5
FS-067,Ronald Tanner,Aaron Black,3.5
DE-082,Rhonda Miller,Aaron Martinez,6.0
UI-050,Edward Smith,Aaron Martinez,5.5
ST-027,Kevin Holt,Aaron Martinez,7.75
UI-076,April Brown,Aaron Walls,4.5
UI-074,Kevin Stewart,Aaron Walls,5.25
UI-049,Brandy Bullock,Aaron Walls,6.25
ST-072,Paul Andersen,Aaron Walls,5.75
ST-085,Jesus Carter,Aaron Walls,4.25
DE-029,Steven Estes,Aaron Walter,4.25
DS-054,Carrie Mathis,Adam Underwood,7.5
DE-082,Rhonda Miller,Adam Underwood,5.25
ST-031,David Flores,Adam Vasquez,6.75
UI-079,Steve Lopez,Adam Vasquez,6.75
DE-086,Jonathan Stone,Adam Vasquez,4.0
ST-081,Reginald Smith,Adriana Jefferson,3.75
FS-001,Theresa Dixon,Alan Brown,4.25
DS-030,Steve Lopez,Alan Brown,6.0
ST-070,Elizabeth Blake MD,Alan Brown,3.5
DS-098,Katie Davidson,Alan Brown,5.75
ST-046,Renee Smith,Alan Brown,5.75
ST-023,Leslie Holland,Alan Brown,4.5
UI-093,Christine Marshall,Alan Oconnor,3.0
ST-046,Renee Smith,Alan Oconnor,6.0
DS-063,Sara Le,Alan Oconnor,4.5
ST-014,Alyssa Gibson,Alan Oconnor,4.0
ST-003,Elizabeth Green,Albert Cain,4.25
UI-024,Cathy Francis,Albert Cain,4.75
FS-061,Megan Simpson,Albert Cain,4.25
DS-063,Sara Le,Albert Cain,4.5
FS-035,William Ward,Albert Cain,3.5
UI-049,Brandy Bullock,Albert Cain,4.75
FS-067,Ronald Tanner,Albert Tran,2.25
UI-058,David Flores,Albert Tran,5.5
UI-055,Charles Smith,Alejandra Barrett,2.75
ST-003,Elizabeth Green,Alexander Henderson,3.75
DE-064,Tina Chen DVM,Alexander Henderson,5.5
FS-062,Megan Simpson,Alexander Henderson,4.25
DE-086,Jonathan Stone,Alexander Mata,2.75
DS-030,Steve Lopez,Alexander Mata,6.25
DE-082,Rhonda Miller,Alexander Ward,4.5
ST-027,Kevin Holt,Alexander Ward,8.0
UI-049,Brandy Bullock,Alexandra Larsen,5.75
UI-077,Kelly Rodriguez Jr.,Alexis Reynolds,6.0
UI-079,Steve Lopez,Alexis Reynolds,5.25
UI-055,Charles Smith,Alexis Watson,7.75
ST-008,Marc Martinez,Alexis Watson,6.75
UI-050,Edward Smith,Alexis Watson,7.25
DE-011,Brittany Ramirez,Alice Mckee,4.5
ST-004,George Hill,Alice Mckee,5.0
FS-062,Megan Simpson,Alice Young,3.25
FS-078,George Benjamin,Alice Young,3.75
DE-069,Jesus Carter,Alice Young,4.0
ST-081,Reginald Smith,Alicia Patterson,4.25
ST-059,Brooke Costa,Allen Brown,5.75
DE-092,Jeremy Medina,Allen Brown,5.25
ST-091,David Flores,Allen Brown,6.25
ST-091,David Flores,Allen Howard,5.0
DS-037,Edward Smith,Allen Howard,2.25
ST-070,Elizabeth Blake MD,Allen Howard,5.25
FS-062,Megan Simpson,Alyssa Stephenson,6.0
FS-088,Thomas Howe,Amanda Cole,4.5
DE-073,Carolyn Brown,Amanda Fernandez,3.75
UI-074,Kevin Stewart,Amanda Jackson,5.75
FS-061,Megan Simpson,Amanda Jackson,3.75
FS-095,Emily Mckay,Amanda Jackson,8.0
DS-098,Katie Davidson,Amanda Jackson,6.25
ST-022,Cassandra Ortega,Amanda Matthews,3.75
FS-041,Roberto Daniel,Amanda Matthews,7.5
DE-092,Jeremy Medina,Amanda Shaw,6.75
DE-025,Ariana Stevens,Amanda Shaw,5.0
ST-070,Elizabeth Blake MD,Amanda West,4.25
DS-075,Ronald Tanner,Amanda West,5.5
UI-024,Cathy Francis,Amy Anderson,4.0
UI-093,Christine Marshall,Amy Brown,5.0
UI-036,Jeremy Medina,Amy Brown,4.0
UI-024,Cathy Francis,Amy Hoffman,4.75
ST-070,Elizabeth Blake MD,Amy Hoffman,6.0
DS-063,Sara Le,Amy Hoffman,5.0
DS-033,Steven Todd,Amy Martin,6.25
DE-082,Rhonda Miller,Amy Reid,3.5
DE-082,Rhonda Miller,Amy Stephenson,3.0
DS-063,Sara Le,Amy Stephenson,5.75
FS-078,George Benjamin,Amy Thomas,5.75
DE-086,Jonathan Stone,Ana Patton,7.0
FS-078,George Benjamin,Ana Patton,6.5
DE-011,Brittany Ramirez,Ana Patton,4.0
UI-074,Kevin Stewart,Andre Francis,5.25
UI-039,Leslie Holland,Andrea Gutierrez,6.0
ST-014,Alyssa Gibson,Andrea Gutierrez,4.5
DE-029,Steven Estes,Andrea Morales,4.25
ST-081,Reginald Smith,Andrea Morales,5.25
FS-044,Jonathan Stone,Andrea Morales,3.75
FS-026,Teresa Bentley,Andrew Robinson,4.75
UI-077,Kelly Rodriguez Jr.,Andrew Robinson,3.0
DS-075,Ronald Tanner,Andrew Robinson,2.75
DE-009,Jennifer Fleming,Andrew Robinson,6.25
FS-066,Jared Ortiz,Andrew Robinson,7.5
FS-062,Megan Simpson,Andrew Robinson,5.25
FS-040,Daniel Hopkins,Andrew Smith,6.75
ST-004,George Hill,Andrew Smith,5.0
DE-097,Lisa Jackson,Andrew Walker,3.25
FS-062,Megan Simpson,Andrew Walker,5.5
DS-028,Anna Howell,Andrew Walker,5.25
DE-006,Keith Roberson,Angel Hooper,4.0
UI-050,Edward Smith,Angel Hooper,4.25
ST-046,Renee Smith,Angela Castro,1.75
ST-072,Paul Andersen,Angela Castro,5.0
ST-031,David Flores,Angela Edwards,5.75
FS-066,Jared Ortiz,Angela Edwards,4.75
DS-018,Amanda Goodman,Angela Peters,6.75
UI-039,Leslie Holland,Angela Peters,3.75
FS-045,Sheena Maxwell,Angela Peters,4.75
DS-089,Ms. Kara Smith,Angela Ramirez,7.75
DE-069,Jesus Carter,Ann Ortega,5.5
UI-039,Leslie Holland,Ann Ortega,5.0
DE-084,Brandy Bullock,Ann Ortega,6.5
DE-029,Steven Estes,Ann Ortega,5.25
UI-077,Kelly Rodriguez Jr.,Ann Ortega,3.25
DE-082,Rhonda Miller,Ann Ortega,5.0
DS-089,Ms. Kara Smith,Anna Arias,6.75
FS-045,Sheena Maxwell,Anna Arias,3.25
FS-067,Ronald Tanner,Anna Arias,4.25
FS-026,Teresa Bentley,Anna Decker,3.0
UI-049,Brandy Bullock,Anna Decker,7.75
DE-011,Brittany Ramirez,Anna Gonzalez,4.75
UI-010,Renee Smith,Anna Rivera,3.5
DE-029,Steven Estes,Anna Rivera,1.75
UI-076,April Brown,Anna Thompson,3.75
FS-042,Cassandra Fuentes,Anne Dominguez,5.0
FS-017,Jessica Wilkinson,Annette Santos,6.25
FS-042,Cassandra Fuentes,Annette Santos,6.5
DE-097,Lisa Jackson,Annette Santos,4.0
FS-012,Shawn Lowe,Anthony Harris,6.5
DS-075,Ronald Tanner,Anthony Haynes,6.75
FS-035,William Ward,Anthony Haynes,3.25
DE-086,Jonathan Stone,Anthony Thornton,7.25
DE-025,Ariana Stevens,Anthony Thornton,3.75
DS-034,Lindsay Smith,Anthony Valdez,6.0
DE-092,Jeremy Medina,Anthony Valdez,5.5
UI-058,David Flores,Anthony Woods,4.5
FS-068,Cassandra Fuentes,Anthony Woods,5.25
ST-072,Paul Andersen,Ashley Ayers,4.25
ST-031,David Flores,Ashley Chandler,6.5
ST-004,George Hill,Ashley Chandler,3.5
FS-062,Megan Simpson,Ashley Chandler,7.25
DE-073,Carolyn Brown,Ashley Chandler,4.0
FS-066,Jared Ortiz,Ashley Chandler,4.25
FS-012,Shawn Lowe,Ashley Oneill,6.25
FS-095,Emily Mckay,Ashley Oneill,7.5
FS-021,Juan Coleman,Ashley Oneill,5.5
DS-089,Ms. Kara Smith,Autumn Thomas,4.75
FS-041,Roberto Daniel,Autumn Thomas,6.0
DS-030,Steve Lopez,Autumn Thomas,4.5
DE-097,Lisa Jackson,Benjamin James,4.0
UI-050,Edward Smith,Benjamin James,2.5
DE-073,Carolyn Brown,Benjamin Jennings,4.75
FS-001,Theresa Dixon,Benjamin Jennings,6.5
FS-016,Christopher Bass,Beth Greene,6.75
UI-058,David Flores,Bethany Ellis,4.5
FS-078,George Benjamin,Bethany Ellis,6.0
ST-046,Renee Smith,Bethany Ellis,3.0
DS-080,Ricardo Anderson,Bianca Bennett,4.5
UI-015,Jeremy Medina,Bianca Bennett,5.75
ST-046,Renee Smith,Bianca Bennett,5.0
UI-099,Thomas Matthews,Billy Herman,4.0
DS-033,Steven Todd,Blake Howard,4.75
FS-062,Megan Simpson,Blake Howard,3.25
DE-092,Jeremy Medina,Blake Howard,4.75
ST-008,Marc Martinez,Blake Howard,3.75
DS-034,Lindsay Smith,Bobby Steele,7.25
UI-039,Leslie Holland,Bobby Steele,5.75
FS-019,Mary Ortiz,Bobby Steele,3.25
UI-058,David Flores,Bobby Steele,6.0
FS-088,Thomas Howe,Bonnie Lewis,4.5
FS-095,Emily Mckay,Bonnie Lewis,5.5
UI-049,Brandy Bullock,Bradley Cabrera,4.5
DS-080,Ricardo Anderson,Bradley Cabrera,7.0
ST-027,Kevin Holt,Bradley Cabrera,5.0
DE-086,Jonathan Stone,Bradley Cabrera,4.25
ST-008,Marc Martinez,Bradley Jimenez,6.0
DS-098,Katie Davidson,Bradley Jimenez,6.25
FS-095,Emily Mckay,Brandi Jones,3.75
DE-048,Jared Williamson,Brandi Jones,8.25
UI-074,Kevin Stewart,Brandi Jones,4.25
DE-097,Lisa Jackson,Brandi Jones,6.0
UI-010,Renee Smith,Brandi Oliver,3.5
DE-097,Lisa Jackson,Brandon Campbell,5.25
FS-042,Cassandra Fuentes,Brandon Campbell,4.25
DS-034,Lindsay Smith,Brandon Campbell,5.75
UI-050,Edward Smith,Brandon Campbell,6.5
DS-028,Anna Howell,Brandon Jackson,3.75
DE-073,Carolyn Brown,Brandon Jackson,4.5
FS-017,Jessica Wilkinson,Brandon Marks,4.25
ST-027,Kevin Holt,Brandon Marks,2.0
DE-083,Jonathan Stone,Brandon Mayo,3.25
DE-073,Carolyn Brown,Brandon Mayo,5.75
DS-054,Carrie Mathis,Brandon Mcknight,6.5
ST-043,Ms. Kara Smith,Brandon Mcknight,4.5
DS-098,Katie Davidson,Brandon Mcknight,5.75
DE-083,Jonathan Stone,Brandon Salinas,7.5
DS-028,Anna Howell,Brandon Salinas,6.75
UI-036,Jeremy Medina,Brandon Thomas,4.75
DS-089,Ms. Kara Smith,Brandon Thomas,5.5
UI-005,Lori Romero,Brandon Thomas,5.25
DS-080,Ricardo Anderson,Brandon Wade,5.25
ST-013,Peter Rowland,Brandon Wade,5.0
