training_code,trainer_username,participant_username,participant_hackerRankScore,participant_performance,participant_assessmentScore,participant_communication,Max_Marks[10]
UI-096,Vicki Allen,Martha Aguilar,5,9,8,10,8.0
UI-096,Vicki Allen,Jennifer Mercer,7,9,7,9,8.0
UI-096,Vicki Allen,Richard Mcdonald,7,6,9,10,8.0
UI-096,Vicki Allen,Jason Thomas,7,9,8,8,8.0
UI-096,Vicki Allen,Amy Miller,3,7,8,10,7.0
UI-082,Jessica Nixon,Keith Williams,9,7,9,7,8.0
UI-082,Jessica Nixon,Tonya White,7,10,6,8,7.75
UI-082,Jessica Nixon,David Branch,9,4,5,9,6.75
UI-082,Jessica Nixon,Michael Strickland,1,7,9,9,6.5
UI-082,Jessica Nixon,Susan Cruz,9,6,2,9,6.5
UI-076,Michael Johnson,Michelle Bautista,8,9,6,9,8.0
UI-076,Michael Johnson,William Acevedo,6,10,8,7,7.75
UI-076,Michael Johnson,Cory Richardson,8,8,7,6,7.25
UI-076,Michael Johnson,Matthew Acosta,3,9,8,7,6.75
UI-076,Michael Johnson,Amy Long,9,7,8,3,6.75
UI-066,James Lane,Gregory Lucas,7,3,10,6,6.5
UI-066,James Lane,Melissa York,5,10,8,3,6.5
UI-066,James Lane,Tina Smith,10,6,4,6,6.5
UI-066,James Lane,Kimberly Brown,7,7,9,2,6.25
UI-066,James Lane,Katherine Mclaughlin,6,6,4,6,5.5
UI-064,Nancy Williams,Kristina Moyer,10,10,7,8,8.75
UI-064,Nancy Williams,Mrs. Whitney Martin,8,8,9,2,6.75
UI-064,Nancy Williams,Wayne Lee Jr.,7,6,3,9,6.25
UI-064,Nancy Williams,Louis Nash,9,3,6,6,6.0
UI-064,Nancy Williams,Michael Cooper,6,7,4,6,5.75
UI-062,Rachel Pierce,David Byrd,8,7,8,7,7.5
UI-062,Rachel Pierce,Leslie Garcia,7,4,8,8,6.75
UI-062,Rachel Pierce,Kimberly Morris,9,3,10,5,6.75
UI-062,Rachel Pierce,Jenna Cruz,7,8,2,8,6.25
UI-062,Rachel Pierce,Sharon Vargas,8,0,10,7,6.25
UI-057,Brian Owens,Brian Williams,3,9,10,8,7.5
UI-057,Brian Owens,Alyssa Robertson,6,10,9,5,7.5
UI-057,Brian Owens,Michael Cooper,9,4,6,5,6.0
UI-057,Brian Owens,Keith Williams,7,5,6,6,6.0
UI-057,Brian Owens,David Sanders,8,8,2,2,5.0
UI-055,Diana Morton,Jeffrey Vazquez,10,9,3,7,7.25
UI-055,Diana Morton,Brian Cole,5,10,9,3,6.75
UI-055,Diana Morton,Maria Rice,6,9,9,2,6.5
UI-055,Diana Morton,Sheila Nichols,4,8,7,7,6.5
UI-055,Diana Morton,Joshua Mcintosh,5,7,9,3,6.0
UI-052,Michael Tran,Julie Marshall,5,9,9,8,7.75
UI-052,Michael Tran,Jose Fernandez,7,7,7,7,7.0
UI-052,Michael Tran,Dawn Jackson,3,9,9,7,7.0
UI-052,Michael Tran,Laura Castro,9,10,4,3,6.5
UI-052,Michael Tran,Samantha Robinson,6,9,6,3,6.0
UI-041,Chris Torres,Andrew Phillips,8,9,9,5,7.75
UI-041,Chris Torres,Troy Lee,9,10,4,1,6.0
UI-041,Chris Torres,David Byrd,0,9,10,4,5.75
UI-041,Chris Torres,Anthony Campbell,0,10,9,3,5.5
UI-041,Chris Torres,Kimberly Morris,3,8,4,7,5.5
UI-040,Tracy Rogers,Isaac James,10,2,10,9,7.75
UI-040,Tracy Rogers,Sabrina Miller,5,10,6,9,7.5
UI-040,Tracy Rogers,Spencer Garcia,8,4,9,7,7.0
UI-040,Tracy Rogers,Jeremiah Jenkins,5,6,7,10,7.0
UI-040,Tracy Rogers,Brian Jones,9,8,4,6,6.75
UI-026,Catherine Mckinney,Maria Rice,10,10,8,9,9.25
UI-026,Catherine Mckinney,Christopher Johnson,10,6,10,8,8.5
UI-026,Catherine Mckinney,Linda Williams,10,9,5,7,7.75
UI-026,Catherine Mckinney,Jenny Horne,9,6,9,6,7.5
UI-026,Catherine Mckinney,Elizabeth Rivas,2,6,10,8,6.5
UI-018,Douglas Mcintosh,Danny Cook,9,6,4,5,6.0
UI-018,Douglas Mcintosh,Gerald Lee,2,3,9,9,5.75
UI-018,Douglas Mcintosh,Kristina Moyer,0,9,4,10,5.75
UI-018,Douglas Mcintosh,Julie Ochoa,2,5,9,5,5.25
UI-018,Douglas Mcintosh,John Baker,8,3,2,7,5.0
UI-015,William Fowler,Jennifer Hughes,9,6,9,7,7.75
UI-015,William Fowler,Derek Carson,8,8,7,5,7.0
UI-015,William Fowler,Victoria Johnson,9,8,10,1,7.0
UI-015,William Fowler,Christopher Frazier,9,6,6,5,6.5
UI-015,William Fowler,Whitney Fuller,5,8,9,4,6.5
UI-013,Cassandra Nguyen,Megan Odonnell,6,9,4,5,6.0
UI-013,Cassandra Nguyen,Brian Koch,8,8,4,3,5.75
UI-013,Cassandra Nguyen,Misty Gross,7,4,6,3,5.0
UI-013,Cassandra Nguyen,Benjamin Henry,1,8,6,5,5.0
UI-013,Cassandra Nguyen,Jeffrey Vazquez,7,6,1,5,4.75
UI-012,Dana Castillo,Robert Harding,5,7,4,5,5.25
UI-012,Dana Castillo,Heather Griffin,0,6,10,2,4.5
UI-012,Dana Castillo,Jordan Jimenez,1,5,5,1,3.0
UI-011,Valerie Park,Anthony Taylor,3,3,2,9,4.25
UI-011,Valerie Park,Jose Harris,4,1,10,1,4.0
UI-011,Valerie Park,Dr. Dustin Ramsey,1,2,9,3,3.75
UI-011,Valerie Park,James Meyer,0,4,2,5,2.75
UI-005,Christian Perkins,Anne Thornton,8,7,10,3,7.0
UI-005,Christian Perkins,Andrew Wilson,4,7,8,9,7.0
UI-005,Christian Perkins,Nicole Reed,7,5,8,7,6.75
UI-005,Christian Perkins,Christian Harding,4,6,7,9,6.5
UI-005,Christian Perkins,Jason Thomas,5,10,1,9,6.25
UI-003,Hunter Garrison,Haley Taylor,9,10,3,7,7.25
UI-003,Hunter Garrison,Megan Odonnell,6,10,6,6,7.0
UI-003,Hunter Garrison,David Simpson,9,3,7,7,6.5
